Date,Description,Amount,Category
2026-08-01,Monthly salary,3200.00,Salary
2026-08-02,Rent payment,-1150.00,Rent & housing
2026-08-03,Supermarket,-84.20,Groceries
2026-08-05,Electricity bill,-61.00,Utilities
2026-08-07,Train ticket,-24.50,Transport
2026-08-09,Dinner with friends,-46.80,Eating out
2026-08-12,Pharmacy,-12.30,Health
2026-08-15,Cinema tickets,-28.00,Entertainment
2026-08-18,Supermarket,-73.15,Groceries
2026-08-21,Freelance invoice,450.00,Other income
2026-08-24,New headphones,-119.99,Shopping
2026-08-28,Transfer to savings,-300.00,Savings & investments
